session,bbid,ward,alderperson,vote
2016-2017,81,22,Jeffrey L Boyd,Aye
2016-2017,81,23,Joseph Vaccaro,Aye
2016-2017,81,25,Shane Cohn,Aye
2016-2017,81,26,Frank Williamson,Aye
2016-2017,81,27,Chris Carter,Aye
2016-2017,81,28,Lyda Krewson,Aye
2016-2017,81,President,Lewis E Reed,Aye
2016-2017,81,4,Samuel L Moore,Absent
2016-2017,81,16,Ward 16 Vacant,Absent
2016-2017,81,24,Scott Ogilvie,Absent
2016-2017,174,1,Sharon Tyus,Aye
2016-2017,174,2,Dionne Flowers,Aye
2016-2017,174,3,Freeman M Bosley Sr.,Aye
2016-2017,174,5,Tammika Hubbard,Aye
2016-2017,174,6,Christine Ingrassia,Aye
2016-2017,174,7,Jack Coatar,Aye
2016-2017,174,8,Stephen Conway,Aye
2016-2017,174,9,Kenneth Ortmann,Aye
2016-2017,174,10,Joseph Vollmer,Aye
2016-2017,174,11,Thomas A Villa,Aye
2016-2017,174,12,Larry Arnowitz,Aye
2016-2017,174,13,Beth Murphy,Aye
2016-2017,174,14,Carol Howard,Aye
2016-2017,174,15,Megan E. Green,Aye
2016-2017,174,17,Joseph D Roddy,Aye
2016-2017,174,18,Terry Kennedy,Aye
2016-2017,174,19,Marlene E Davis,Aye
2016-2017,174,20,Cara Spencer,Aye
2016-2017,174,21,Antonio D French,Aye
2016-2017,174,22,Jeffrey L Boyd,Aye
2016-2017,174,23,Joseph Vaccaro,Aye
2016-2017,174,25,Shane Cohn,Aye
2016-2017,174,26,Frank Williamson,Aye
2016-2017,174,27,Chris Carter,Aye
2016-2017,174,28,Lyda Krewson,Aye
2016-2017,174,President,Lewis E Reed,Aye
2016-2017,174,4,Samuel L Moore,Absent
2016-2017,174,16,Ward 16 Vacant,Absent
2016-2017,174,24,Scott Ogilvie,Absent
2016-2017,196,1,Sharon Tyus,Aye
2016-2017,196,2,Dionne Flowers,Aye
2016-2017,196,3,Freeman M Bosley Sr.,Aye
2016-2017,196,5,Tammika Hubbard,Aye
2016-2017,196,6,Christine Ingrassia,Aye
2016-2017,196,7,Jack Coatar,Aye
2016-2017,196,8,Stephen Conway,Aye
2016-2017,196,9,Kenneth Ortmann,Aye
2016-2017,196,10,Joseph Vollmer,Aye
2016-2017,196,11,Thomas A Villa,Aye
2016-2017,196,12,Larry Arnowitz,Aye
2016-2017,196,13,Beth Murphy,Aye
2016-2017,196,14,Carol Howard,Aye
2016-2017,196,15,Megan E. Green,Aye
2016-2017,196,17,Joseph D Roddy,Aye
2016-2017,196,18,Terry Kennedy,Aye
2016-2017,196,19,Marlene E Davis,Aye
2016-2017,196,20,Cara Spencer,Aye
2016-2017,196,21,Antonio D French,Aye
2016-2017,196,22,Jeffrey L Boyd,Aye
2016-2017,196,23,Joseph Vaccaro,Aye
2016-2017,196,25,Shane Cohn,Aye
2016-2017,196,26,Frank Williamson,Aye
2016-2017,196,27,Chris Carter,Aye
2016-2017,196,28,Lyda Krewson,Aye
2016-2017,196,President,Lewis E Reed,Aye
2016-2017,196,4,Samuel L Moore,Absent
2016-2017,196,16,Ward 16 Vacant,Absent
2016-2017,196,24,Scott Ogilvie,Absent
2016-2017,204,1,Sharon Tyus,Aye
2016-2017,204,2,Dionne Flowers,Aye
2016-2017,204,3,Freeman M Bosley Sr.,Aye
2016-2017,204,5,Tammika Hubbard,Aye
2016-2017,204,6,Christine Ingrassia,Aye
2016-2017,204,7,Jack Coatar,Aye
2016-2017,204,8,Stephen Conway,Aye
2016-2017,204,9,Kenneth Ortmann,Aye
2016-2017,204,10,Joseph Vollmer,Aye
2016-2017,204,11,Thomas A Villa,Aye
2016-2017,204,12,Larry Arnowitz,Aye
2016-2017,204,13,Beth Murphy,Aye
2016-2017,204,14,Carol Howard,Aye
2016-2017,204,15,Megan E. Green,Aye
2016-2017,204,17,Joseph D Roddy,Aye
2016-2017,204,18,Terry Kennedy,Aye
2016-2017,204,19,Marlene E Davis,Aye
2016-2017,204,20,Cara Spencer,Aye
2016-2017,204,21,Antonio D French,Aye
2016-2017,204,22,Jeffrey L Boyd,Aye
2016-2017,204,23,Joseph Vaccaro,Aye
2016-2017,204,25,Shane Cohn,Aye
2016-2017,204,26,Frank Williamson,Aye
2016-2017,204,27,Chris Carter,Aye
2016-2017,204,28,Lyda Krewson,Aye
2016-2017,204,President,Lewis E Reed,Aye
2016-2017,204,4,Samuel L Moore,Absent
2016-2017,204,16,Ward 16 Vacant,Absent
2016-2017,204,24,Scott Ogilvie,Absent
2016-2017,244,1,Sharon Tyus,Aye
2016-2017,244,2,Dionne Flowers,Aye
2016-2017,244,3,Freeman M Bosley Sr.,Aye
2016-2017,244,5,Tammika Hubbard,Aye
2016-2017,244,6,Christine Ingrassia,Aye
2016-2017,244,7,Jack Coatar,Aye
2016-2017,244,8,Stephen Conway,Aye
2016-2017,244,9,Kenneth Ortmann,Aye
2016-2017,244,10,Joseph Vollmer,Aye
2016-2017,244,11,Thomas A Villa,Aye
2016-2017,244,12,Larry Arnowitz,Aye
2016-2017,244,13,Beth Murphy,Aye
2016-2017,244,14,Carol Howard,Aye
2016-2017,244,15,Megan E. Green,Aye
2016-2017,244,17,Joseph D Roddy,Aye
2016-2017,244,18,Terry Kennedy,Aye
2016-2017,244,19,Marlene E Davis,Aye
2016-2017,244,20,Cara Spencer,Aye
2016-2017,244,21,Antonio D French,Aye
2016-2017,244,22,Jeffrey L Boyd,Aye
2016-2017,244,23,Joseph Vaccaro,Aye
2016-2017,244,25,Shane Cohn,Aye
2016-2017,244,26,Frank Williamson,Aye
2016-2017,244,27,Chris Carter,Aye
2016-2017,244,28,Lyda Krewson,Aye
2016-2017,244,President,Lewis E Reed,Aye
2016-2017,244,4,Samuel L Moore,Absent
2016-2017,244,16,Ward 16 Vacant,Absent
2016-2017,244,24,Scott Ogilvie,Absent
2016-2017,247,1,Sharon Tyus,Aye
2016-2017,247,2,Dionne Flowers,Aye
2016-2017,247,3,Freeman M Bosley Sr.,Aye
2016-2017,247,5,Tammika Hubbard,Aye
2016-2017,247,6,Christine Ingrassia,Aye
2016-2017,247,7,Jack Coatar,Aye
2016-2017,247,8,Stephen Conway,Aye
2016-2017,247,9,Kenneth Ortmann,Aye
2016-2017,247,10,Joseph Vollmer,Aye
2016-2017,247,11,Thomas A Villa,Aye
2016-2017,247,12,Larry Arnowitz,Aye
2016-2017,247,13,Beth Murphy,Aye
2016-2017,247,14,Carol Howard,Aye
2016-2017,247,15,Megan E. Green,Aye
2016-2017,247,17,Joseph D Roddy,Aye
2016-2017,247,18,Terry Kennedy,Aye
2016-2017,247,19,Marlene E Davis,Aye
2016-2017,247,20,Cara Spencer,Aye
2016-2017,247,21,Antonio D French,Aye
2016-2017,247,22,Jeffrey L Boyd,Aye
2016-2017,247,23,Joseph Vaccaro,Aye
2016-2017,247,25,Shane Cohn,Aye
2016-2017,247,26,Frank Williamson,Aye
2016-2017,247,27,Chris Carter,Aye
2016-2017,247,28,Lyda Krewson,Aye
2016-2017,247,President,Lewis E Reed,Aye
2016-2017,247,4,Samuel L Moore,Absent
2016-2017,247,16,Ward 16 Vacant,Absent
2016-2017,247,24,Scott Ogilvie,Absent
2016-2017,248,1,Sharon Tyus,Aye
2016-2017,248,2,Dionne Flowers,Aye
2016-2017,248,3,Freeman M Bosley Sr.,Aye
2016-2017,248,5,Tammika Hubbard,Aye
2016-2017,248,6,Christine Ingrassia,Aye
2016-2017,248,7,Jack Coatar,Aye
2016-2017,248,8,Stephen Conway,Aye
2016-2017,248,9,Kenneth Ortmann,Aye
2016-2017,248,10,Joseph Vollmer,Aye
2016-2017,248,11,Thomas A Villa,Aye
2016-2017,248,12,Larry Arnowitz,Aye
2016-2017,248,13,Beth Murphy,Aye
2016-2017,248,14,Carol Howard,Aye
2016-2017,248,15,Megan E. Green,Aye
2016-2017,248,17,Joseph D Roddy,Aye
2016-2017,248,18,Terry Kennedy,Aye
2016-2017,248,19,Marlene E Davis,Aye
2016-2017,248,20,Cara Spencer,Aye
2016-2017,248,21,Antonio D French,Aye
2016-2017,248,22,Jeffrey L Boyd,Aye
2016-2017,248,23,Joseph Vaccaro,Aye
2016-2017,248,25,Shane Cohn,Aye
2016-2017,248,26,Frank Williamson,Aye
2016-2017,248,27,Chris Carter,Aye
2016-2017,248,28,Lyda Krewson,Aye
2016-2017,248,President,Lewis E Reed,Aye
2016-2017,248,4,Samuel L Moore,Absent
2016-2017,248,16,Ward 16 Vacant,Absent
2016-2017,248,24,Scott Ogilvie,Absent
2016-2017,249,1,Sharon Tyus,Aye
2016-2017,249,2,Dionne Flowers,Aye
2016-2017,249,3,Freeman M Bosley Sr.,Aye
2016-2017,249,5,Tammika Hubbard,Aye
2016-2017,249,6,Christine Ingrassia,Aye
2016-2017,249,7,Jack Coatar,Aye
2016-2017,249,8,Stephen Conway,Aye
2016-2017,249,9,Kenneth Ortmann,Aye
2016-2017,249,10,Joseph Vollmer,Aye
2016-2017,249,11,Thomas A Villa,Aye
2016-2017,249,12,Larry Arnowitz,Aye
2016-2017,249,13,Beth Murphy,Aye
2016-2017,249,14,Carol Howard,Aye
2016-2017,249,15,Megan E. Green,Aye
2016-2017,249,17,Joseph D Roddy,Aye
2016-2017,249,18,Terry Kennedy,Aye
2016-2017,249,19,Marlene E Davis,Aye
2016-2017,249,20,Cara Spencer,Aye
2016-2017,249,21,Antonio D French,Aye
2016-2017,249,22,Jeffrey L Boyd,Aye
2016-2017,249,23,Joseph Vaccaro,Aye
2016-2017,249,25,Shane Cohn,Aye
2016-2017,249,26,Frank Williamson,Aye
2016-2017,249,27,Chris Carter,Aye
2016-2017,249,28,Lyda Krewson,Aye
2016-2017,249,President,Lewis E Reed,Aye
2016-2017,249,4,Samuel L Moore,Absent
2016-2017,249,16,Ward 16 Vacant,Absent
2016-2017,249,24,Scott Ogilvie,Absent
2016-2017,250,1,Sharon Tyus,Aye
2016-2017,250,2,Dionne Flowers,Aye
2016-2017,250,3,Freeman M Bosley Sr.,Aye
2016-2017,250,5,Tammika Hubbard,Aye
2016-2017,250,6,Christine Ingrassia,Aye
2016-2017,250,7,Jack Coatar,Aye
2016-2017,250,8,Stephen Conway,Aye
2016-2017,250,9,Kenneth Ortmann,Aye
2016-2017,250,10,Joseph Vollmer,Aye
2016-2017,250,11,Thomas A Villa,Aye
2016-2017,250,12,Larry Arnowitz,Aye
2016-2017,250,13,Beth Murphy,Aye
2016-2017,250,14,Carol Howard,Aye
2016-2017,250,15,Megan E. Green,Aye
2016-2017,250,17,Joseph D Roddy,Aye
2016-2017,250,18,Terry Kennedy,Aye
2016-2017,250,19,Marlene E Davis,Aye
2016-2017,250,20,Cara Spencer,Aye
2016-2017,250,21,Antonio D French,Aye
2016-2017,250,22,Jeffrey L Boyd,Aye
2016-2017,250,23,Joseph Vaccaro,Aye
2016-2017,250,25,Shane Cohn,Aye
2016-2017,250,26,Frank Williamson,Aye
2016-2017,250,27,Chris Carter,Aye
2016-2017,250,28,Lyda Krewson,Aye
2016-2017,250,President,Lewis E Reed,Aye
2016-2017,250,4,Samuel L Moore,Absent
2016-2017,250,16,Ward 16 Vacant,Absent
2016-2017,250,24,Scott Ogilvie,Absent
2016-2017,259,1,Sharon Tyus,Aye
2016-2017,259,2,Dionne Flowers,Aye
2016-2017,259,3,Freeman M Bosley Sr.,Aye
2016-2017,259,5,Tammika Hubbard,Aye
2016-2017,259,6,Christine Ingrassia,Aye
2016-2017,259,7,Jack Coatar,Aye
2016-2017,259,8,Stephen Conway,Aye
2016-2017,259,9,Kenneth Ortmann,Aye
2016-2017,259,10,Joseph Vollmer,Aye
2016-2017,259,11,Thomas A Villa,Aye
2016-2017,259,12,Larry Arnowitz,Aye
2016-2017,259,13,Beth Murphy,Aye
2016-2017,259,14,Carol Howard,Aye
2016-2017,259,15,Megan E. Green,Aye
2016-2017,259,17,Joseph D Roddy,Aye
2016-2017,259,18,Terry Kennedy,Aye
2016-2017,259,19,Marlene E Davis,Aye
2016-2017,259,20,Cara Spencer,Aye
2016-2017,259,21,Antonio D French,Aye
2016-2017,259,22,Jeffrey L Boyd,Aye
2016-2017,259,23,Joseph Vaccaro,Aye
2016-2017,259,25,Shane Cohn,Aye
2016-2017,259,26,Frank Williamson,Aye
2016-2017,259,27,Chris Carter,Aye
2016-2017,259,28,Lyda Krewson,Aye
2016-2017,259,President,Lewis E Reed,Aye
2016-2017,259,4,Samuel L Moore,Absent
2016-2017,259,16,Ward 16 Vacant,Absent
2016-2017,259,24,Scott Ogilvie,Absent
2016-2017,261,1,Sharon Tyus,Aye
2016-2017,261,2,Dionne Flowers,Aye
2016-2017,261,3,Freeman M Bosley Sr.,Aye
2016-2017,261,5,Tammika Hubbard,Aye
2016-2017,261,6,Christine Ingrassia,Aye
2016-2017,261,7,Jack Coatar,Aye
2016-2017,261,8,Stephen Conway,Aye
2016-2017,261,9,Kenneth Ortmann,Aye
2016-2017,261,10,Joseph Vollmer,Aye
2016-2017,261,11,Thomas A Villa,Aye
2016-2017,261,12,Larry Arnowitz,Aye
2016-2017,261,13,Beth Murphy,Aye
2016-2017,261,14,Carol Howard,Aye
2016-2017,261,15,Megan E. Green,Aye
2016-2017,261,17,Joseph D Roddy,Aye
2016-2017,261,18,Terry Kennedy,Aye
2016-2017,261,19,Marlene E Davis,Aye
2016-2017,261,20,Cara Spencer,Aye
2016-2017,261,21,Antonio D French,Aye
2016-2017,261,22,Jeffrey L Boyd,Aye
2016-2017,261,23,Joseph Vaccaro,Aye
2016-2017,261,25,Shane Cohn,Aye
2016-2017,261,26,Frank Williamson,Aye
2016-2017,261,27,Chris Carter,Aye
2016-2017,261,28,Lyda Krewson,Aye
2016-2017,261,President,Lewis E Reed,Aye
2016-2017,261,4,Samuel L Moore,Absent
2016-2017,261,16,Ward 16 Vacant,Absent
2016-2017,261,24,Scott Ogilvie,Absent
2016-2017,266,1,Sharon Tyus,Aye
2016-2017,266,2,Dionne Flowers,Aye
2016-2017,266,3,Freeman M Bosley Sr.,Aye
2016-2017,266,5,Tammika Hubbard,Aye
2016-2017,266,6,Christine Ingrassia,Aye
2016-2017,266,7,Jack Coatar,Aye
2016-2017,266,8,Stephen Conway,Aye
2016-2017,266,9,Kenneth Ortmann,Aye
2016-2017,266,10,Joseph Vollmer,Aye
2016-2017,266,11,Thomas A Villa,Aye
2016-2017,266,12,Larry Arnowitz,Aye
2016-2017,266,13,Beth Murphy,Aye
2016-2017,266,14,Carol Howard,Aye
2016-2017,266,15,Megan E. Green,Aye
2016-2017,266,17,Joseph D Roddy,Aye
2016-2017,266,18,Terry Kennedy,Aye
2016-2017,266,19,Marlene E Davis,Aye
2016-2017,266,20,Cara Spencer,Aye
2016-2017,266,21,Antonio D French,Aye
2016-2017,266,22,Jeffrey L Boyd,Aye
2016-2017,266,23,Joseph Vaccaro,Aye
2016-2017,266,25,Shane Cohn,Aye
2016-2017,266,26,Frank Williamson,Aye
2016-2017,266,27,Chris Carter,Aye
2016-2017,266,28,Lyda Krewson,Aye
2016-2017,266,President,Lewis E Reed,Aye
2016-2017,266,4,Samuel L Moore,Absent
2016-2017,266,16,Ward 16 Vacant,Absent
2016-2017,266,24,Scott Ogilvie,Absent
2016-2017,275,1,Sharon Tyus,Aye
2016-2017,275,2,Dionne Flowers,Aye
2016-2017,275,3,Freeman M Bosley Sr.,Aye
2016-2017,275,5,Tammika Hubbard,Aye
2016-2017,275,6,Christine Ingrassia,Aye
2016-2017,275,7,Jack Coatar,Aye
2016-2017,275,8,Stephen Conway,Aye
2016-2017,275,9,Kenneth Ortmann,Aye
2016-2017,275,10,Joseph Vollmer,Aye
2016-2017,275,11,Thomas A Villa,Aye
2016-2017,275,12,Larry Arnowitz,Aye
2016-2017,275,13,Beth Murphy,Aye
2016-2017,275,14,Carol Howard,Aye
2016-2017,275,15,Megan E. Green,Aye
2016-2017,275,17,Joseph D Roddy,Aye
2016-2017,275,18,Terry Kennedy,Aye
2016-2017,275,19,Marlene E Davis,Aye
2016-2017,275,20,Cara Spencer,Aye
2016-2017,275,21,Antonio D French,Aye
2016-2017,275,22,Jeffrey L Boyd,Aye
2016-2017,275,23,Joseph Vaccaro,Aye
2016-2017,275,25,Shane Cohn,Aye
2016-2017,275,26,Frank Williamson,Aye
2016-2017,275,27,Chris Carter,Aye
2016-2017,275,28,Lyda Krewson,Aye
2016-2017,275,President,Lewis E Reed,Aye
2016-2017,275,4,Samuel L Moore,Absent
2016-2017,275,16,Ward 16 Vacant,Absent
2016-2017,275,24,Scott Ogilvie,Absent
2016-2017,276,1,Sharon Tyus,Aye
2016-2017,276,2,Dionne Flowers,Aye
2016-2017,276,3,Freeman M Bosley Sr.,Aye
2016-2017,276,5,Tammika Hubbard,Aye
2016-2017,276,6,Christine Ingrassia,Aye
2016-2017,276,7,Jack Coatar,Aye
2016-2017,276,8,Stephen Conway,Aye
2016-2017,276,9,Kenneth Ortmann,Aye
2016-2017,276,10,Joseph Vollmer,Aye
2016-2017,276,11,Thomas A Villa,Aye
2016-2017,276,12,Larry Arnowitz,Aye
2016-2017,276,13,Beth Murphy,Aye
2016-2017,276,14,Carol Howard,Aye
2016-2017,276,15,Megan E. Green,Aye
2016-2017,276,17,Joseph D Roddy,Aye
2016-2017,276,18,Terry Kennedy,Aye
2016-2017,276,19,Marlene E Davis,Aye
2016-2017,276,20,Cara Spencer,Aye
2016-2017,276,21,Antonio D French,Aye
2016-2017,276,22,Jeffrey L Boyd,Aye
2016-2017,276,23,Joseph Vaccaro,Aye
2016-2017,276,25,Shane Cohn,Aye
2016-2017,276,26,Frank Williamson,Aye
2016-2017,276,27,Chris Carter,Aye
2016-2017,276,28,Lyda Krewson,Aye
2016-2017,276,President,Lewis E Reed,Aye
2016-2017,276,4,Samuel L Moore,Absent
2016-2017,276,16,Ward 16 Vacant,Absent
2016-2017,276,24,Scott Ogilvie,Absent
2016-2017,287,1,Sharon Tyus,Aye
2016-2017,287,2,Dionne Flowers,Aye
2016-2017,287,3,Freeman M Bosley Sr.,Aye
2016-2017,287,5,Tammika Hubbard,Aye
2016-2017,287,6,Christine Ingrassia,Aye
2016-2017,287,7,Jack Coatar,Aye
2016-2017,287,8,Stephen Conway,Aye
2016-2017,287,9,Kenneth Ortmann,Aye
2016-2017,287,10,Joseph Vollmer,Aye
2016-2017,287,11,Thomas A Villa,Aye
2016-2017,287,12,Larry Arnowitz,Aye
2016-2017,287,13,Beth Murphy,Aye
2016-2017,287,14,Carol Howard,Aye
2016-2017,287,15,Megan E. Green,Aye
2016-2017,287,17,Joseph D Roddy,Aye
2016-2017,287,18,Terry Kennedy,Aye
2016-2017,287,19,Marlene E Davis,Aye
2016-2017,287,20,Cara Spencer,Aye
2016-2017,287,21,Antonio D French,Aye
2016-2017,287,22,Jeffrey L Boyd,Aye
2016-2017,287,23,Joseph Vaccaro,Aye
2016-2017,287,25,Shane Cohn,Aye
2016-2017,287,26,Frank Williamson,Aye
2016-2017,287,27,Chris Carter,Aye
2016-2017,287,28,Lyda Krewson,Aye
2016-2017,287,President,Lewis E Reed,Aye
2016-2017,287,4,Samuel L Moore,Absent
2016-2017,287,16,Ward 16 Vacant,Absent
2016-2017,287,24,Scott Ogilvie,Absent
2016-2017,289,1,Sharon Tyus,Aye
2016-2017,289,2,Dionne Flowers,Aye
2016-2017,289,3,Freeman M Bosley Sr.,Aye
2016-2017,289,5,Tammika Hubbard,Aye
2016-2017,289,6,Christine Ingrassia,Aye
2016-2017,289,7,Jack Coatar,Aye
2016-2017,289,8,Stephen Conway,Aye
2016-2017,289,9,Kenneth Ortmann,Aye
2016-2017,289,10,Joseph Vollmer,Aye
2016-2017,289,11,Thomas A Villa,Aye
2016-2017,289,12,Larry Arnowitz,Aye
2016-2017,289,13,Beth Murphy,Aye
2016-2017,289,14,Carol Howard,Aye
2016-2017,289,15,Megan E. Green,Aye
2016-2017,289,17,Joseph D Roddy,Aye
2016-2017,289,18,Terry Kennedy,Aye
2016-2017,289,19,Marlene E Davis,Aye
2016-2017,289,20,Cara Spencer,Aye
2016-2017,289,21,Antonio D French,Aye
2016-2017,289,22,Jeffrey L Boyd,Aye
2016-2017,289,23,Joseph Vaccaro,Aye
2016-2017,289,25,Shane Cohn,Aye
2016-2017,289,26,Frank Williamson,Aye
2016-2017,289,27,Chris Carter,Aye
2016-2017,289,28,Lyda Krewson,Aye
2016-2017,289,President,Lewis E Reed,Aye
2016-2017,289,4,Samuel L Moore,Absent
2016-2017,289,16,Ward 16 Vacant,Absent
2016-2017,289,24,Scott Ogilvie,Absent
2016-2017,300,1,Sharon Tyus,Aye
2016-2017,300,2,Dionne Flowers,Aye
2016-2017,300,3,Freeman M Bosley Sr.,Aye
2016-2017,300,5,Tammika Hubbard,Aye
2016-2017,300,6,Christine Ingrassia,Aye
2016-2017,300,7,Jack Coatar,Aye
2016-2017,300,8,Stephen Conway,Aye
2016-2017,300,9,Kenneth Ortmann,Aye
2016-2017,300,10,Joseph Vollmer,Aye
2016-2017,300,11,Thomas A Villa,Aye
2016-2017,300,12,Larry Arnowitz,Aye
2016-2017,300,13,Beth Murphy,Aye
2016-2017,300,14,Carol Howard,Aye
2016-2017,300,15,Megan E. Green,Aye
2016-2017,300,17,Joseph D Roddy,Aye
2016-2017,300,18,Terry Kennedy,Aye
2016-2017,300,19,Marlene E Davis,Aye
2016-2017,300,20,Cara Spencer,Aye
2016-2017,300,21,Antonio D French,Aye
2016-2017,300,22,Jeffrey L Boyd,Aye
2016-2017,300,23,Joseph Vaccaro,Aye
2016-2017,300,25,Shane Cohn,Aye
2016-2017,300,26,Frank Williamson,Aye
2016-2017,300,27,Chris Carter,Aye
2016-2017,300,28,Lyda Krewson,Aye
2016-2017,300,President,Lewis E Reed,Aye
2016-2017,300,4,Samuel L Moore,Absent
2016-2017,300,16,Ward 16 Vacant,Absent
2016-2017,300,24,Scott Ogilvie,Absent
2016-2017,302,1,Sharon Tyus,Aye
2016-2017,302,2,Dionne Flowers,Aye
2016-2017,302,3,Freeman M Bosley Sr.,Aye
2016-2017,302,5,Tammika Hubbard,Aye
2016-2017,302,6,Christine Ingrassia,Aye
2016-2017,302,7,Jack Coatar,Aye
2016-2017,302,8,Stephen Conway,Aye
2016-2017,302,9,Kenneth Ortmann,Aye
2016-2017,302,10,Joseph Vollmer,Aye
2016-2017,302,11,Thomas A Villa,Aye
2016-2017,302,12,Larry Arnowitz,Aye
2016-2017,302,13,Beth Murphy,Aye
2016-2017,302,14,Carol Howard,Aye
2016-2017,302,15,Megan E. Green,Aye
2016-2017,302,17,Joseph D Roddy,Aye
2016-2017,302,18,Terry Kennedy,Aye
2016-2017,302,19,Marlene E Davis,Aye
2016-2017,302,20,Cara Spencer,Aye
2016-2017,302,21,Antonio D French,Aye
2016-2017,302,22,Jeffrey L Boyd,Aye
2016-2017,302,23,Joseph Vaccaro,Aye
2016-2017,302,25,Shane Cohn,Aye
2016-2017,302,26,Frank Williamson,Aye
2016-2017,302,27,Chris Carter,Aye
2016-2017,302,28,Lyda Krewson,Aye
2016-2017,302,President,Lewis E Reed,Aye
2016-2017,302,4,Samuel L Moore,Absent
2016-2017,302,16,Ward 16 Vacant,Absent
2016-2017,302,24,Scott Ogilvie,Absent
2016-2017,303,1,Sharon Tyus,Aye
2016-2017,303,2,Dionne Flowers,Aye
2016-2017,303,3,Freeman M Bosley Sr.,Aye
2016-2017,303,5,Tammika Hubbard,Aye
2016-2017,303,6,Christine Ingrassia,Aye
2016-2017,303,7,Jack Coatar,Aye
2016-2017,303,8,Stephen Conway,Aye
2016-2017,303,9,Kenneth Ortmann,Aye
2016-2017,303,10,Joseph Vollmer,Aye
2016-2017,303,11,Thomas A Villa,Aye
2016-2017,303,12,Larry Arnowitz,Aye
2016-2017,303,13,Beth Murphy,Aye
2016-2017,303,14,Carol Howard,Aye
2016-2017,303,15,Megan E. Green,Aye
2016-2017,303,17,Joseph D Roddy,Aye
2016-2017,303,18,Terry Kennedy,Aye
2016-2017,303,19,Marlene E Davis,Aye
2016-2017,303,20,Cara Spencer,Aye
2016-2017,303,21,Antonio D French,Aye
2016-2017,303,22,Jeffrey L Boyd,Aye
2016-2017,303,23,Joseph Vaccaro,Aye
2016-2017,303,25,Shane Cohn,Aye
