unique_id,session,bbid,ward,alderperson,vote
2015-2016-321,2015-2016,321,22,Jeffrey L Boyd,Aye
2015-2016-321,2015-2016,321,23,Joseph Vaccaro,Aye
2015-2016-321,2015-2016,321,24,Scott Ogilvie,Aye
2015-2016-321,2015-2016,321,26,Frank Williamson,Aye
2015-2016-321,2015-2016,321,27,Chris Carter,Aye
2015-2016-321,2015-2016,321,28,Lyda Krewson,Aye
2015-2016-321,2015-2016,321,President,Lewis E Reed,Aye
2015-2016-321,2015-2016,321,4,Samuel L Moore,Absent
2015-2016-321,2015-2016,321,5,Tammika Hubbard,Absent
2015-2016-321,2015-2016,321,8,Stephen Conway,Absent
2015-2016-321,2015-2016,321,21,Antonio D French,Absent
2015-2016-321,2015-2016,321,25,Shane Cohn,Absent
2015-2016-323,2015-2016,323,1,Sharon Tyus,Aye
2015-2016-323,2015-2016,323,2,Dionne Flowers,Aye
2015-2016-323,2015-2016,323,3,Freeman M Bosley Sr.,Aye
2015-2016-323,2015-2016,323,6,Christine Ingrassia,Aye
2015-2016-323,2015-2016,323,7,Jack Coatar,Aye
2015-2016-323,2015-2016,323,9,Kenneth Ortmann,Aye
2015-2016-323,2015-2016,323,10,Joseph Vollmer,Aye
2015-2016-323,2015-2016,323,11,Thomas A Villa,Aye
2015-2016-323,2015-2016,323,12,Larry Arnowitz,Aye
2015-2016-323,2015-2016,323,13,Beth Murphy,Aye
2015-2016-323,2015-2016,323,14,Carol Howard,Aye
2015-2016-323,2015-2016,323,15,Megan E. Green,Aye
2015-2016-323,2015-2016,323,16,Donna Baringer,Aye
2015-2016-323,2015-2016,323,17,Joseph D Roddy,Aye
2015-2016-323,2015-2016,323,18,Terry Kennedy,Aye
2015-2016-323,2015-2016,323,19,Marlene E Davis,Aye
2015-2016-323,2015-2016,323,20,Cara Spencer,Aye
2015-2016-323,2015-2016,323,22,Jeffrey L Boyd,Aye
2015-2016-323,2015-2016,323,23,Joseph Vaccaro,Aye
2015-2016-323,2015-2016,323,24,Scott Ogilvie,Aye
2015-2016-323,2015-2016,323,26,Frank Williamson,Aye
2015-2016-323,2015-2016,323,27,Chris Carter,Aye
2015-2016-323,2015-2016,323,28,Lyda Krewson,Aye
2015-2016-323,2015-2016,323,President,Lewis E Reed,Aye
2015-2016-323,2015-2016,323,4,Samuel L Moore,Absent
2015-2016-323,2015-2016,323,5,Tammika Hubbard,Absent
2015-2016-323,2015-2016,323,8,Stephen Conway,Absent
2015-2016-323,2015-2016,323,21,Antonio D French,Absent
2015-2016-323,2015-2016,323,25,Shane Cohn,Absent
2015-2016-209,2015-2016,209,1,Sharon Tyus,Aye
2015-2016-209,2015-2016,209,2,Dionne Flowers,Aye
2015-2016-209,2015-2016,209,3,Freeman M Bosley Sr.,Aye
2015-2016-209,2015-2016,209,5,Tammika Hubbard,Aye
2015-2016-209,2015-2016,209,6,Christine Ingrassia,Aye
2015-2016-209,2015-2016,209,7,Jack Coatar,Aye
2015-2016-209,2015-2016,209,8,Stephen Conway,Aye
2015-2016-209,2015-2016,209,9,Kenneth Ortmann,Aye
2015-2016-209,2015-2016,209,10,Joseph Vollmer,Aye
2015-2016-209,2015-2016,209,11,Thomas A Villa,Aye
2015-2016-209,2015-2016,209,12,Larry Arnowitz,Aye
2015-2016-209,2015-2016,209,13,Beth Murphy,Aye
2015-2016-209,2015-2016,209,15,Megan E. Green,Aye
2015-2016-209,2015-2016,209,16,Donna Baringer,Aye
2015-2016-209,2015-2016,209,17,Joseph D Roddy,Aye
2015-2016-209,2015-2016,209,18,Terry Kennedy,Aye
2015-2016-209,2015-2016,209,19,Marlene E Davis,Aye
2015-2016-209,2015-2016,209,20,Cara Spencer,Aye
2015-2016-209,2015-2016,209,21,Antonio D French,Aye
2015-2016-209,2015-2016,209,22,Jeffrey L Boyd,Aye
2015-2016-209,2015-2016,209,23,Joseph Vaccaro,Aye
2015-2016-209,2015-2016,209,24,Scott Ogilvie,Aye
2015-2016-209,2015-2016,209,25,Shane Cohn,Aye
2015-2016-209,2015-2016,209,26,Frank Williamson,Aye
2015-2016-209,2015-2016,209,27,Chris Carter,Aye
2015-2016-209,2015-2016,209,28,Lyda Krewson,Aye
2015-2016-209,2015-2016,209,President,Lewis E Reed,Aye
2015-2016-209,2015-2016,209,4,Samuel L Moore,Absent
2015-2016-209,2015-2016,209,14,Carol Howard,Absent
2015-2016-235,2015-2016,235,1,Sharon Tyus,Aye
2015-2016-235,2015-2016,235,2,Dionne Flowers,Aye
2015-2016-235,2015-2016,235,3,Freeman M Bosley Sr.,Aye
2015-2016-235,2015-2016,235,5,Tammika Hubbard,Aye
2015-2016-235,2015-2016,235,6,Christine Ingrassia,Aye
2015-2016-235,2015-2016,235,7,Jack Coatar,Aye
2015-2016-235,2015-2016,235,8,Stephen Conway,Aye
2015-2016-235,2015-2016,235,9,Kenneth Ortmann,Aye
2015-2016-235,2015-2016,235,10,Joseph Vollmer,Aye
2015-2016-235,2015-2016,235,11,Thomas A Villa,Aye
2015-2016-235,2015-2016,235,12,Larry Arnowitz,Aye
2015-2016-235,2015-2016,235,13,Beth Murphy,Aye
2015-2016-235,2015-2016,235,15,Megan E. Green,Aye
2015-2016-235,2015-2016,235,16,Donna Baringer,Aye
2015-2016-235,2015-2016,235,17,Joseph D Roddy,Aye
2015-2016-235,2015-2016,235,18,Terry Kennedy,Aye
2015-2016-235,2015-2016,235,19,Marlene E Davis,Aye
2015-2016-235,2015-2016,235,20,Cara Spencer,Aye
2015-2016-235,2015-2016,235,21,Antonio D French,Aye
2015-2016-235,2015-2016,235,22,Jeffrey L Boyd,Aye
2015-2016-235,2015-2016,235,23,Joseph Vaccaro,Aye
2015-2016-235,2015-2016,235,24,Scott Ogilvie,Aye
2015-2016-235,2015-2016,235,25,Shane Cohn,Aye
2015-2016-235,2015-2016,235,26,Frank Williamson,Aye
2015-2016-235,2015-2016,235,27,Chris Carter,Aye
2015-2016-235,2015-2016,235,28,Lyda Krewson,Aye
2015-2016-235,2015-2016,235,President,Lewis E Reed,Aye
2015-2016-235,2015-2016,235,4,Samuel L Moore,Absent
2015-2016-235,2015-2016,235,14,Carol Howard,Absent
2015-2016-236,2015-2016,236,1,Sharon Tyus,Aye
2015-2016-236,2015-2016,236,2,Dionne Flowers,Aye
2015-2016-236,2015-2016,236,3,Freeman M Bosley Sr.,Aye
2015-2016-236,2015-2016,236,5,Tammika Hubbard,Aye
2015-2016-236,2015-2016,236,6,Christine Ingrassia,Aye
2015-2016-236,2015-2016,236,7,Jack Coatar,Aye
2015-2016-236,2015-2016,236,8,Stephen Conway,Aye
2015-2016-236,2015-2016,236,9,Kenneth Ortmann,Aye
2015-2016-236,2015-2016,236,10,Joseph Vollmer,Aye
2015-2016-236,2015-2016,236,11,Thomas A Villa,Aye
2015-2016-236,2015-2016,236,12,Larry Arnowitz,Aye
2015-2016-236,2015-2016,236,13,Beth Murphy,Aye
2015-2016-236,2015-2016,236,15,Megan E. Green,Aye
2015-2016-236,2015-2016,236,16,Donna Baringer,Aye
2015-2016-236,2015-2016,236,17,Joseph D Roddy,Aye
2015-2016-236,2015-2016,236,18,Terry Kennedy,Aye
2015-2016-236,2015-2016,236,19,Marlene E Davis,Aye
2015-2016-236,2015-2016,236,20,Cara Spencer,Aye
2015-2016-236,2015-2016,236,21,Antonio D French,Aye
2015-2016-236,2015-2016,236,22,Jeffrey L Boyd,Aye
2015-2016-236,2015-2016,236,23,Joseph Vaccaro,Aye
2015-2016-236,2015-2016,236,24,Scott Ogilvie,Aye
2015-2016-236,2015-2016,236,25,Shane Cohn,Aye
2015-2016-236,2015-2016,236,26,Frank Williamson,Aye
2015-2016-236,2015-2016,236,27,Chris Carter,Aye
2015-2016-236,2015-2016,236,28,Lyda Krewson,Aye
2015-2016-236,2015-2016,236,President,Lewis E Reed,Aye
2015-2016-236,2015-2016,236,4,Samuel L Moore,Absent
2015-2016-236,2015-2016,236,14,Carol Howard,Absent
2015-2016-270,2015-2016,270,1,Sharon Tyus,Aye
2015-2016-270,2015-2016,270,2,Dionne Flowers,Aye
2015-2016-270,2015-2016,270,3,Freeman M Bosley Sr.,Aye
2015-2016-270,2015-2016,270,5,Tammika Hubbard,Aye
2015-2016-270,2015-2016,270,6,Christine Ingrassia,Aye
2015-2016-270,2015-2016,270,7,Jack Coatar,Aye
2015-2016-270,2015-2016,270,8,Stephen Conway,Aye
2015-2016-270,2015-2016,270,9,Kenneth Ortmann,Aye
2015-2016-270,2015-2016,270,10,Joseph Vollmer,Aye
2015-2016-270,2015-2016,270,11,Thomas A Villa,Aye
2015-2016-270,2015-2016,270,12,Larry Arnowitz,Aye
2015-2016-270,2015-2016,270,13,Beth Murphy,Aye
2015-2016-270,2015-2016,270,15,Megan E. Green,Aye
2015-2016-270,2015-2016,270,16,Donna Baringer,Aye
2015-2016-270,2015-2016,270,17,Joseph D Roddy,Aye
2015-2016-270,2015-2016,270,18,Terry Kennedy,Aye
2015-2016-270,2015-2016,270,19,Marlene E Davis,Aye
2015-2016-270,2015-2016,270,20,Cara Spencer,Aye
2015-2016-270,2015-2016,270,21,Antonio D French,Aye
2015-2016-270,2015-2016,270,22,Jeffrey L Boyd,Aye
2015-2016-270,2015-2016,270,23,Joseph Vaccaro,Aye
2015-2016-270,2015-2016,270,24,Scott Ogilvie,Aye
2015-2016-270,2015-2016,270,25,Shane Cohn,Aye
2015-2016-270,2015-2016,270,26,Frank Williamson,Aye
2015-2016-270,2015-2016,270,27,Chris Carter,Aye
2015-2016-270,2015-2016,270,28,Lyda Krewson,Aye
2015-2016-270,2015-2016,270,President,Lewis E Reed,Aye
2015-2016-270,2015-2016,270,4,Samuel L Moore,Absent
2015-2016-270,2015-2016,270,14,Carol Howard,Absent
2015-2016-271,2015-2016,271,1,Sharon Tyus,Aye
2015-2016-271,2015-2016,271,2,Dionne Flowers,Aye
2015-2016-271,2015-2016,271,3,Freeman M Bosley Sr.,Aye
2015-2016-271,2015-2016,271,5,Tammika Hubbard,Aye
2015-2016-271,2015-2016,271,6,Christine Ingrassia,Aye
2015-2016-271,2015-2016,271,7,Jack Coatar,Aye
2015-2016-271,2015-2016,271,8,Stephen Conway,Aye
2015-2016-271,2015-2016,271,9,Kenneth Ortmann,Aye
2015-2016-271,2015-2016,271,10,Joseph Vollmer,Aye
2015-2016-271,2015-2016,271,11,Thomas A Villa,Aye
2015-2016-271,2015-2016,271,12,Larry Arnowitz,Aye
2015-2016-271,2015-2016,271,13,Beth Murphy,Aye
2015-2016-271,2015-2016,271,15,Megan E. Green,Aye
2015-2016-271,2015-2016,271,16,Donna Baringer,Aye
2015-2016-271,2015-2016,271,17,Joseph D Roddy,Aye
2015-2016-271,2015-2016,271,18,Terry Kennedy,Aye
2015-2016-271,2015-2016,271,19,Marlene E Davis,Aye
2015-2016-271,2015-2016,271,20,Cara Spencer,Aye
2015-2016-271,2015-2016,271,21,Antonio D French,Aye
2015-2016-271,2015-2016,271,22,Jeffrey L Boyd,Aye
2015-2016-271,2015-2016,271,23,Joseph Vaccaro,Aye
2015-2016-271,2015-2016,271,24,Scott Ogilvie,Aye
2015-2016-271,2015-2016,271,25,Shane Cohn,Aye
2015-2016-271,2015-2016,271,26,Frank Williamson,Aye
2015-2016-271,2015-2016,271,27,Chris Carter,Aye
2015-2016-271,2015-2016,271,28,Lyda Krewson,Aye
2015-2016-271,2015-2016,271,President,Lewis E Reed,Aye
2015-2016-271,2015-2016,271,4,Samuel L Moore,Absent
2015-2016-271,2015-2016,271,14,Carol Howard,Absent
2015-2016-275,2015-2016,275,1,Sharon Tyus,Aye
2015-2016-275,2015-2016,275,2,Dionne Flowers,Aye
2015-2016-275,2015-2016,275,3,Freeman M Bosley Sr.,Aye
2015-2016-275,2015-2016,275,5,Tammika Hubbard,Aye
2015-2016-275,2015-2016,275,6,Christine Ingrassia,Aye
2015-2016-275,2015-2016,275,7,Jack Coatar,Aye
2015-2016-275,2015-2016,275,8,Stephen Conway,Aye
2015-2016-275,2015-2016,275,9,Kenneth Ortmann,Aye
2015-2016-275,2015-2016,275,10,Joseph Vollmer,Aye
2015-2016-275,2015-2016,275,11,Thomas A Villa,Aye
2015-2016-275,2015-2016,275,12,Larry Arnowitz,Aye
2015-2016-275,2015-2016,275,13,Beth Murphy,Aye
2015-2016-275,2015-2016,275,15,Megan E. Green,Aye
2015-2016-275,2015-2016,275,16,Donna Baringer,Aye
2015-2016-275,2015-2016,275,17,Joseph D Roddy,Aye
2015-2016-275,2015-2016,275,18,Terry Kennedy,Aye
2015-2016-275,2015-2016,275,19,Marlene E Davis,Aye
2015-2016-275,2015-2016,275,20,Cara Spencer,Aye
2015-2016-275,2015-2016,275,21,Antonio D French,Aye
2015-2016-275,2015-2016,275,22,Jeffrey L Boyd,Aye
2015-2016-275,2015-2016,275,23,Joseph Vaccaro,Aye
2015-2016-275,2015-2016,275,24,Scott Ogilvie,Aye
2015-2016-275,2015-2016,275,25,Shane Cohn,Aye
2015-2016-275,2015-2016,275,26,Frank Williamson,Aye
2015-2016-275,2015-2016,275,27,Chris Carter,Aye
2015-2016-275,2015-2016,275,28,Lyda Krewson,Aye
2015-2016-275,2015-2016,275,President,Lewis E Reed,Aye
2015-2016-275,2015-2016,275,4,Samuel L Moore,Absent
2015-2016-275,2015-2016,275,14,Carol Howard,Absent
2015-2016-280,2015-2016,280,1,Sharon Tyus,Aye
2015-2016-280,2015-2016,280,2,Dionne Flowers,Aye
2015-2016-280,2015-2016,280,3,Freeman M Bosley Sr.,Aye
2015-2016-280,2015-2016,280,5,Tammika Hubbard,Aye
2015-2016-280,2015-2016,280,6,Christine Ingrassia,Aye
2015-2016-280,2015-2016,280,7,Jack Coatar,Aye
2015-2016-280,2015-2016,280,8,Stephen Conway,Aye
2015-2016-280,2015-2016,280,9,Kenneth Ortmann,Aye
2015-2016-280,2015-2016,280,10,Joseph Vollmer,Aye
2015-2016-280,2015-2016,280,11,Thomas A Villa,Aye
2015-2016-280,2015-2016,280,12,Larry Arnowitz,Aye
2015-2016-280,2015-2016,280,13,Beth Murphy,Aye
2015-2016-280,2015-2016,280,15,Megan E. Green,Aye
2015-2016-280,2015-2016,280,16,Donna Baringer,Aye
2015-2016-280,2015-2016,280,17,Joseph D Roddy,Aye
2015-2016-280,2015-2016,280,18,Terry Kennedy,Aye
2015-2016-280,2015-2016,280,19,Marlene E Davis,Aye
2015-2016-280,2015-2016,280,20,Cara Spencer,Aye
2015-2016-280,2015-2016,280,21,Antonio D French,Aye
2015-2016-280,2015-2016,280,22,Jeffrey L Boyd,Aye
2015-2016-280,2015-2016,280,23,Joseph Vaccaro,Aye
2015-2016-280,2015-2016,280,24,Scott Ogilvie,Aye
2015-2016-280,2015-2016,280,25,Shane Cohn,Aye
2015-2016-280,2015-2016,280,26,Frank Williamson,Aye
2015-2016-280,2015-2016,280,27,Chris Carter,Aye
2015-2016-280,2015-2016,280,28,Lyda Krewson,Aye
2015-2016-280,2015-2016,280,President,Lewis E Reed,Aye
2015-2016-280,2015-2016,280,4,Samuel L Moore,Absent
2015-2016-280,2015-2016,280,14,Carol Howard,Absent
2015-2016-284,2015-2016,284,1,Sharon Tyus,Aye
2015-2016-284,2015-2016,284,2,Dionne Flowers,Aye
2015-2016-284,2015-2016,284,3,Freeman M Bosley Sr.,Aye
2015-2016-284,2015-2016,284,5,Tammika Hubbard,Aye
2015-2016-284,2015-2016,284,6,Christine Ingrassia,Aye
2015-2016-284,2015-2016,284,7,Jack Coatar,Aye
2015-2016-284,2015-2016,284,8,Stephen Conway,Aye
2015-2016-284,2015-2016,284,9,Kenneth Ortmann,Aye
2015-2016-284,2015-2016,284,10,Joseph Vollmer,Aye
2015-2016-284,2015-2016,284,11,Thomas A Villa,Aye
2015-2016-284,2015-2016,284,12,Larry Arnowitz,Aye
2015-2016-284,2015-2016,284,13,Beth Murphy,Aye
2015-2016-284,2015-2016,284,15,Megan E. Green,Aye
2015-2016-284,2015-2016,284,16,Donna Baringer,Aye
2015-2016-284,2015-2016,284,17,Joseph D Roddy,Aye
2015-2016-284,2015-2016,284,18,Terry Kennedy,Aye
2015-2016-284,2015-2016,284,19,Marlene E Davis,Aye
2015-2016-284,2015-2016,284,20,Cara Spencer,Aye
2015-2016-284,2015-2016,284,21,Antonio D French,Aye
2015-2016-284,2015-2016,284,22,Jeffrey L Boyd,Aye
2015-2016-284,2015-2016,284,23,Joseph Vaccaro,Aye
2015-2016-284,2015-2016,284,24,Scott Ogilvie,Aye
2015-2016-284,2015-2016,284,25,Shane Cohn,Aye
2015-2016-284,2015-2016,284,26,Frank Williamson,Aye
2015-2016-284,2015-2016,284,27,Chris Carter,Aye
2015-2016-284,2015-2016,284,28,Lyda Krewson,Aye
2015-2016-284,2015-2016,284,President,Lewis E Reed,Aye
2015-2016-284,2015-2016,284,4,Samuel L Moore,Absent
2015-2016-284,2015-2016,284,14,Carol Howard,Absent
2015-2016-286,2015-2016,286,1,Sharon Tyus,Aye
2015-2016-286,2015-2016,286,2,Dionne Flowers,Aye
2015-2016-286,2015-2016,286,3,Freeman M Bosley Sr.,Aye
2015-2016-286,2015-2016,286,5,Tammika Hubbard,Aye
2015-2016-286,2015-2016,286,6,Christine Ingrassia,Aye
2015-2016-286,2015-2016,286,7,Jack Coatar,Aye
2015-2016-286,2015-2016,286,8,Stephen Conway,Aye
2015-2016-286,2015-2016,286,9,Kenneth Ortmann,Aye
2015-2016-286,2015-2016,286,10,Joseph Vollmer,Aye
2015-2016-286,2015-2016,286,11,Thomas A Villa,Aye
2015-2016-286,2015-2016,286,12,Larry Arnowitz,Aye
2015-2016-286,2015-2016,286,13,Beth Murphy,Aye
2015-2016-286,2015-2016,286,15,Megan E. Green,Aye
2015-2016-286,2015-2016,286,16,Donna Baringer,Aye
2015-2016-286,2015-2016,286,17,Joseph D Roddy,Aye
2015-2016-286,2015-2016,286,18,Terry Kennedy,Aye
2015-2016-286,2015-2016,286,19,Marlene E Davis,Aye
2015-2016-286,2015-2016,286,20,Cara Spencer,Aye
2015-2016-286,2015-2016,286,21,Antonio D French,Aye
2015-2016-286,2015-2016,286,22,Jeffrey L Boyd,Aye
2015-2016-286,2015-2016,286,23,Joseph Vaccaro,Aye
2015-2016-286,2015-2016,286,24,Scott Ogilvie,Aye
2015-2016-286,2015-2016,286,25,Shane Cohn,Aye
2015-2016-286,2015-2016,286,26,Frank Williamson,Aye
2015-2016-286,2015-2016,286,27,Chris Carter,Aye
2015-2016-286,2015-2016,286,28,Lyda Krewson,Aye
2015-2016-286,2015-2016,286,President,Lewis E Reed,Aye
2015-2016-286,2015-2016,286,4,Samuel L Moore,Absent
2015-2016-286,2015-2016,286,14,Carol Howard,Absent
2015-2016-287,2015-2016,287,1,Sharon Tyus,Aye
2015-2016-287,2015-2016,287,2,Dionne Flowers,Aye
2015-2016-287,2015-2016,287,3,Freeman M Bosley Sr.,Aye
2015-2016-287,2015-2016,287,5,Tammika Hubbard,Aye
2015-2016-287,2015-2016,287,6,Christine Ingrassia,Aye
2015-2016-287,2015-2016,287,7,Jack Coatar,Aye
2015-2016-287,2015-2016,287,8,Stephen Conway,Aye
2015-2016-287,2015-2016,287,9,Kenneth Ortmann,Aye
2015-2016-287,2015-2016,287,10,Joseph Vollmer,Aye
2015-2016-287,2015-2016,287,11,Thomas A Villa,Aye
2015-2016-287,2015-2016,287,12,Larry Arnowitz,Aye
2015-2016-287,2015-2016,287,13,Beth Murphy,Aye
2015-2016-287,2015-2016,287,15,Megan E. Green,Aye
2015-2016-287,2015-2016,287,16,Donna Baringer,Aye
2015-2016-287,2015-2016,287,17,Joseph D Roddy,Aye
2015-2016-287,2015-2016,287,18,Terry Kennedy,Aye
2015-2016-287,2015-2016,287,19,Marlene E Davis,Aye
2015-2016-287,2015-2016,287,20,Cara Spencer,Aye
2015-2016-287,2015-2016,287,21,Antonio D French,Aye
2015-2016-287,2015-2016,287,22,Jeffrey L Boyd,Aye
2015-2016-287,2015-2016,287,23,Joseph Vaccaro,Aye
2015-2016-287,2015-2016,287,24,Scott Ogilvie,Aye
2015-2016-287,2015-2016,287,25,Shane Cohn,Aye
2015-2016-287,2015-2016,287,26,Frank Williamson,Aye
2015-2016-287,2015-2016,287,27,Chris Carter,Aye
2015-2016-287,2015-2016,287,28,Lyda Krewson,Aye
2015-2016-287,2015-2016,287,President,Lewis E Reed,Aye
2015-2016-287,2015-2016,287,4,Samuel L Moore,Absent
2015-2016-287,2015-2016,287,14,Carol Howard,Absent
2015-2016-288,2015-2016,288,1,Sharon Tyus,Aye
2015-2016-288,2015-2016,288,2,Dionne Flowers,Aye
2015-2016-288,2015-2016,288,3,Freeman M Bosley Sr.,Aye
2015-2016-288,2015-2016,288,5,Tammika Hubbard,Aye
2015-2016-288,2015-2016,288,6,Christine Ingrassia,Aye
2015-2016-288,2015-2016,288,7,Jack Coatar,Aye
2015-2016-288,2015-2016,288,8,Stephen Conway,Aye
2015-2016-288,2015-2016,288,9,Kenneth Ortmann,Aye
2015-2016-288,2015-2016,288,10,Joseph Vollmer,Aye
2015-2016-288,2015-2016,288,11,Thomas A Villa,Aye
2015-2016-288,2015-2016,288,12,Larry Arnowitz,Aye
2015-2016-288,2015-2016,288,13,Beth Murphy,Aye
2015-2016-288,2015-2016,288,15,Megan E. Green,Aye
