bbid,date of vote,ward,alderperson,vote
99,03/09/2018,10,Joseph Vollmer,Aye
99,03/09/2018,11,Sarah Martin,Aye
99,03/09/2018,12,Larry Arnowitz,Aye
99,03/09/2018,13,Beth Murphy,Aye
99,03/09/2018,14,Carol Howard,Aye
99,03/09/2018,16,Tom Oldenburg,Aye
99,03/09/2018,18,Terry Kennedy,Aye
99,03/09/2018,19,Marlene E Davis,Aye
99,03/09/2018,20,Cara Spencer,Aye
99,03/09/2018,21,John Collins-Muhammad,Aye
99,03/09/2018,23,Joseph Vaccaro,Aye
99,03/09/2018,24,Scott Ogilvie,Aye
99,03/09/2018,25,Shane Cohn,Aye
99,03/09/2018,26,Frank Williamson,Aye
99,03/09/2018,27,Pam Boyd,Aye
99,03/09/2018,28,Heather Navarro,Aye
99,03/09/2018,President,Lewis E Reed,Aye
99,03/09/2018,5,Tammika Hubbard,Absent
99,03/09/2018,15,Megan E. Green,Absent
99,03/09/2018,17,Joseph D Roddy,Absent
99,03/09/2018,22,Jeffrey L Boyd,Absent
186,03/09/2018,1,Sharon Tyus,Aye
186,03/09/2018,2,Lisa Middlebrook,Aye
186,03/09/2018,3,Brandon Bosley,Aye
186,03/09/2018,4,Samuel L Moore,Aye
186,03/09/2018,6,Christine Ingrassia,Aye
186,03/09/2018,7,Jack Coatar,Aye
186,03/09/2018,8,Annie Rice,Aye
186,03/09/2018,9,Dan Guenther,Aye
186,03/09/2018,10,Joseph Vollmer,Aye
186,03/09/2018,11,Sarah Martin,Aye
186,03/09/2018,12,Larry Arnowitz,Aye
186,03/09/2018,13,Beth Murphy,Aye
186,03/09/2018,14,Carol Howard,Aye
186,03/09/2018,16,Tom Oldenburg,Aye
186,03/09/2018,18,Terry Kennedy,Aye
186,03/09/2018,19,Marlene E Davis,Aye
186,03/09/2018,20,Cara Spencer,Aye
186,03/09/2018,21,John Collins-Muhammad,Aye
186,03/09/2018,23,Joseph Vaccaro,Aye
186,03/09/2018,24,Scott Ogilvie,Aye
186,03/09/2018,25,Shane Cohn,Aye
186,03/09/2018,26,Frank Williamson,Aye
186,03/09/2018,27,Pam Boyd,Aye
186,03/09/2018,28,Heather Navarro,Aye
186,03/09/2018,President,Lewis E Reed,Aye
186,03/09/2018,5,Tammika Hubbard,Absent
186,03/09/2018,15,Megan E. Green,Absent
186,03/09/2018,17,Joseph D Roddy,Absent
186,03/09/2018,22,Jeffrey L Boyd,Absent
245,03/09/2018,1,Sharon Tyus,Aye
245,03/09/2018,2,Lisa Middlebrook,Aye
245,03/09/2018,3,Brandon Bosley,Aye
245,03/09/2018,4,Samuel L Moore,Aye
245,03/09/2018,6,Christine Ingrassia,Aye
245,03/09/2018,7,Jack Coatar,Aye
245,03/09/2018,8,Annie Rice,Aye
245,03/09/2018,9,Dan Guenther,Aye
245,03/09/2018,10,Joseph Vollmer,Aye
245,03/09/2018,11,Sarah Martin,Aye
245,03/09/2018,12,Larry Arnowitz,Aye
245,03/09/2018,13,Beth Murphy,Aye
245,03/09/2018,14,Carol Howard,Aye
245,03/09/2018,16,Tom Oldenburg,Aye
245,03/09/2018,18,Terry Kennedy,Aye
245,03/09/2018,19,Marlene E Davis,Aye
245,03/09/2018,20,Cara Spencer,Aye
245,03/09/2018,21,John Collins-Muhammad,Aye
245,03/09/2018,23,Joseph Vaccaro,Aye
245,03/09/2018,24,Scott Ogilvie,Aye
245,03/09/2018,25,Shane Cohn,Aye
245,03/09/2018,26,Frank Williamson,Aye
245,03/09/2018,27,Pam Boyd,Aye
245,03/09/2018,28,Heather Navarro,Aye
245,03/09/2018,President,Lewis E Reed,Aye
245,03/09/2018,5,Tammika Hubbard,Absent
245,03/09/2018,15,Megan E. Green,Absent
245,03/09/2018,17,Joseph D Roddy,Absent
245,03/09/2018,22,Jeffrey L Boyd,Absent
257,03/09/2018,1,Sharon Tyus,Aye
257,03/09/2018,2,Lisa Middlebrook,Aye
257,03/09/2018,3,Brandon Bosley,Aye
257,03/09/2018,4,Samuel L Moore,Aye
257,03/09/2018,6,Christine Ingrassia,Aye
257,03/09/2018,7,Jack Coatar,Aye
257,03/09/2018,9,Dan Guenther,Aye
257,03/09/2018,10,Joseph Vollmer,Aye
257,03/09/2018,11,Sarah Martin,Aye
257,03/09/2018,12,Larry Arnowitz,Aye
257,03/09/2018,13,Beth Murphy,Aye
257,03/09/2018,14,Carol Howard,Aye
257,03/09/2018,16,Tom Oldenburg,Aye
257,03/09/2018,18,Terry Kennedy,Aye
257,03/09/2018,19,Marlene E Davis,Aye
257,03/09/2018,20,Cara Spencer,Aye
257,03/09/2018,21,John Collins-Muhammad,Aye
257,03/09/2018,24,Scott Ogilvie,Aye
257,03/09/2018,25,Shane Cohn,Aye
257,03/09/2018,26,Frank Williamson,Aye
257,03/09/2018,27,Pam Boyd,Aye
257,03/09/2018,28,Heather Navarro,Aye
257,03/09/2018,President,Lewis E Reed,Aye
257,03/09/2018,23,Joseph Vaccaro,No
257,03/09/2018,5,Tammika Hubbard,Absent
257,03/09/2018,8,Annie Rice,Absent
257,03/09/2018,15,Megan E. Green,Absent
257,03/09/2018,17,Joseph D Roddy,Absent
257,03/09/2018,22,Jeffrey L Boyd,Absent
261,03/09/2018,2,Lisa Middlebrook,Aye
261,03/09/2018,3,Brandon Bosley,Aye
261,03/09/2018,4,Samuel L Moore,Aye
261,03/09/2018,6,Christine Ingrassia,Aye
261,03/09/2018,9,Dan Guenther,Aye
261,03/09/2018,10,Joseph Vollmer,Aye
261,03/09/2018,11,Sarah Martin,Aye
261,03/09/2018,13,Beth Murphy,Aye
261,03/09/2018,14,Carol Howard,Aye
261,03/09/2018,18,Terry Kennedy,Aye
261,03/09/2018,19,Marlene E Davis,Aye
261,03/09/2018,20,Cara Spencer,Aye
261,03/09/2018,21,John Collins-Muhammad,Aye
261,03/09/2018,23,Joseph Vaccaro,Aye
261,03/09/2018,25,Shane Cohn,Aye
261,03/09/2018,26,Frank Williamson,Aye
261,03/09/2018,27,Pam Boyd,Aye
261,03/09/2018,28,Heather Navarro,Aye
261,03/09/2018,President,Lewis E Reed,Aye
261,03/09/2018,1,Sharon Tyus,No
261,03/09/2018,7,Jack Coatar,Abstain
261,03/09/2018,16,Tom Oldenburg,Abstain
261,03/09/2018,8,Annie Rice,Present
261,03/09/2018,24,Scott Ogilvie,Present
261,03/09/2018,5,Tammika Hubbard,Absent
261,03/09/2018,12,Larry Arnowitz,Absent
261,03/09/2018,15,Megan E. Green,Absent
261,03/09/2018,17,Joseph D Roddy,Absent
261,03/09/2018,22,Jeffrey L Boyd,Absent
241,03/02/2018,1,Sharon Tyus,Aye
241,03/02/2018,2,Lisa Middlebrook,Aye
241,03/02/2018,3,Brandon Bosley,Aye
241,03/02/2018,5,Tammika Hubbard,Aye
241,03/02/2018,6,Christine Ingrassia,Aye
241,03/02/2018,7,Jack Coatar,Aye
241,03/02/2018,8,Annie Rice,Aye
241,03/02/2018,9,Dan Guenther,Aye
241,03/02/2018,10,Joseph Vollmer,Aye
241,03/02/2018,11,Sarah Martin,Aye
241,03/02/2018,12,Larry Arnowitz,Aye
241,03/02/2018,13,Beth Murphy,Aye
241,03/02/2018,14,Carol Howard,Aye
241,03/02/2018,15,Megan E. Green,Aye
241,03/02/2018,16,Tom Oldenburg,Aye
241,03/02/2018,17,Joseph D Roddy,Aye
241,03/02/2018,19,Marlene E Davis,Aye
241,03/02/2018,20,Cara Spencer,Aye
241,03/02/2018,21,John Collins-Muhammad,Aye
241,03/02/2018,22,Jeffrey L Boyd,Aye
241,03/02/2018,23,Joseph Vaccaro,Aye
241,03/02/2018,26,Frank Williamson,Aye
241,03/02/2018,28,Heather Navarro,Aye
241,03/02/2018,President,Lewis E Reed,Aye
241,03/02/2018,24,Scott Ogilvie,Present
241,03/02/2018,4,Samuel L Moore,Absent
241,03/02/2018,18,Terry Kennedy,Absent
241,03/02/2018,25,Shane Cohn,Absent
241,03/02/2018,27,Pam Boyd,Absent
242,03/02/2018,1,Sharon Tyus,Aye
242,03/02/2018,2,Lisa Middlebrook,Aye
242,03/02/2018,3,Brandon Bosley,Aye
242,03/02/2018,5,Tammika Hubbard,Aye
242,03/02/2018,6,Christine Ingrassia,Aye
242,03/02/2018,7,Jack Coatar,Aye
242,03/02/2018,8,Annie Rice,Aye
242,03/02/2018,9,Dan Guenther,Aye
242,03/02/2018,10,Joseph Vollmer,Aye
242,03/02/2018,11,Sarah Martin,Aye
242,03/02/2018,12,Larry Arnowitz,Aye
242,03/02/2018,13,Beth Murphy,Aye
242,03/02/2018,14,Carol Howard,Aye
242,03/02/2018,15,Megan E. Green,Aye
242,03/02/2018,16,Tom Oldenburg,Aye
242,03/02/2018,17,Joseph D Roddy,Aye
242,03/02/2018,19,Marlene E Davis,Aye
242,03/02/2018,20,Cara Spencer,Aye
242,03/02/2018,21,John Collins-Muhammad,Aye
242,03/02/2018,22,Jeffrey L Boyd,Aye
242,03/02/2018,23,Joseph Vaccaro,Aye
242,03/02/2018,26,Frank Williamson,Aye
242,03/02/2018,28,Heather Navarro,Aye
242,03/02/2018,President,Lewis E Reed,Aye
242,03/02/2018,24,Scott Ogilvie,Present
242,03/02/2018,4,Samuel L Moore,Absent
242,03/02/2018,18,Terry Kennedy,Absent
242,03/02/2018,25,Shane Cohn,Absent
242,03/02/2018,27,Pam Boyd,Absent
221,03/02/2018,1,Sharon Tyus,Aye
221,03/02/2018,2,Lisa Middlebrook,Aye
221,03/02/2018,3,Brandon Bosley,Aye
221,03/02/2018,5,Tammika Hubbard,Aye
221,03/02/2018,6,Christine Ingrassia,Aye
221,03/02/2018,7,Jack Coatar,Aye
221,03/02/2018,8,Annie Rice,Aye
221,03/02/2018,9,Dan Guenther,Aye
221,03/02/2018,10,Joseph Vollmer,Aye
221,03/02/2018,11,Sarah Martin,Aye
221,03/02/2018,12,Larry Arnowitz,Aye
221,03/02/2018,13,Beth Murphy,Aye
221,03/02/2018,14,Carol Howard,Aye
221,03/02/2018,15,Megan E. Green,Aye
221,03/02/2018,16,Tom Oldenburg,Aye
221,03/02/2018,17,Joseph D Roddy,Aye
221,03/02/2018,19,Marlene E Davis,Aye
221,03/02/2018,20,Cara Spencer,Aye
221,03/02/2018,21,John Collins-Muhammad,Aye
221,03/02/2018,22,Jeffrey L Boyd,Aye
221,03/02/2018,24,Scott Ogilvie,Aye
221,03/02/2018,26,Frank Williamson,Aye
221,03/02/2018,28,Heather Navarro,Aye
221,03/02/2018,President,Lewis E Reed,Aye
221,03/02/2018,23,Joseph Vaccaro,No
221,03/02/2018,4,Samuel L Moore,Absent
221,03/02/2018,18,Terry Kennedy,Absent
221,03/02/2018,25,Shane Cohn,Absent
221,03/02/2018,27,Pam Boyd,Absent
191,03/02/2018,1,Sharon Tyus,Aye
191,03/02/2018,2,Lisa Middlebrook,Aye
191,03/02/2018,3,Brandon Bosley,Aye
191,03/02/2018,5,Tammika Hubbard,Aye
191,03/02/2018,6,Christine Ingrassia,Aye
191,03/02/2018,7,Jack Coatar,Aye
191,03/02/2018,8,Annie Rice,Aye
191,03/02/2018,9,Dan Guenther,Aye
191,03/02/2018,10,Joseph Vollmer,Aye
191,03/02/2018,11,Sarah Martin,Aye
191,03/02/2018,12,Larry Arnowitz,Aye
191,03/02/2018,13,Beth Murphy,Aye
191,03/02/2018,14,Carol Howard,Aye
191,03/02/2018,15,Megan E. Green,Aye
191,03/02/2018,16,Tom Oldenburg,Aye
191,03/02/2018,17,Joseph D Roddy,Aye
191,03/02/2018,19,Marlene E Davis,Aye
191,03/02/2018,20,Cara Spencer,Aye
191,03/02/2018,21,John Collins-Muhammad,Aye
191,03/02/2018,22,Jeffrey L Boyd,Aye
191,03/02/2018,23,Joseph Vaccaro,Aye
191,03/02/2018,24,Scott Ogilvie,Aye
191,03/02/2018,26,Frank Williamson,Aye
191,03/02/2018,28,Heather Navarro,Aye
191,03/02/2018,President,Lewis E Reed,Aye
191,03/02/2018,4,Samuel L Moore,Absent
191,03/02/2018,18,Terry Kennedy,Absent
191,03/02/2018,25,Shane Cohn,Absent
191,03/02/2018,27,Pam Boyd,Absent
172,02/23/2018,1,Sharon Tyus,Aye
172,02/23/2018,3,Brandon Bosley,Aye
172,02/23/2018,5,Tammika Hubbard,Aye
172,02/23/2018,6,Christine Ingrassia,Aye
172,02/23/2018,7,Jack Coatar,Aye
172,02/23/2018,9,Dan Guenther,Aye
172,02/23/2018,10,Joseph Vollmer,Aye
172,02/23/2018,11,Sarah Martin,Aye
172,02/23/2018,13,Beth Murphy,Aye
172,02/23/2018,15,Megan E. Green,Aye
172,02/23/2018,16,Tom Oldenburg,Aye
172,02/23/2018,17,Joseph D Roddy,Aye
172,02/23/2018,18,Terry Kennedy,Aye
172,02/23/2018,19,Marlene E Davis,Aye
172,02/23/2018,20,Cara Spencer,Aye
172,02/23/2018,22,Jeffrey L Boyd,Aye
172,02/23/2018,23,Joseph Vaccaro,Aye
172,02/23/2018,24,Scott Ogilvie,Aye
172,02/23/2018,26,Frank Williamson,Aye
172,02/23/2018,27,Pam Boyd,Aye
172,02/23/2018,28,Heather Navarro,Aye
172,02/23/2018,President,Lewis E Reed,Aye
172,02/23/2018,2,Lisa Middlebrook,Absent
172,02/23/2018,4,Samuel L Moore,Absent
172,02/23/2018,12,Larry Arnowitz,Absent
172,02/23/2018,14,Carol Howard,Absent
172,02/23/2018,21,John Collins-Muhammad,Absent
172,02/23/2018,25,Shane Cohn,Absent
172,02/23/2018,8,Seat is vacant,Vacant Seat
207,02/23/2018,1,Sharon Tyus,Aye
207,02/23/2018,3,Brandon Bosley,Aye
207,02/23/2018,5,Tammika Hubbard,Aye
207,02/23/2018,6,Christine Ingrassia,Aye
207,02/23/2018,7,Jack Coatar,Aye
207,02/23/2018,9,Dan Guenther,Aye
207,02/23/2018,10,Joseph Vollmer,Aye
207,02/23/2018,11,Sarah Martin,Aye
207,02/23/2018,13,Beth Murphy,Aye
207,02/23/2018,15,Megan E. Green,Aye
207,02/23/2018,16,Tom Oldenburg,Aye
207,02/23/2018,17,Joseph D Roddy,Aye
207,02/23/2018,18,Terry Kennedy,Aye
207,02/23/2018,19,Marlene E Davis,Aye
207,02/23/2018,20,Cara Spencer,Aye
207,02/23/2018,22,Jeffrey L Boyd,Aye
207,02/23/2018,23,Joseph Vaccaro,Aye
207,02/23/2018,24,Scott Ogilvie,Aye
207,02/23/2018,26,Frank Williamson,Aye
207,02/23/2018,27,Pam Boyd,Aye
207,02/23/2018,28,Heather Navarro,Aye
207,02/23/2018,President,Lewis E Reed,Aye
207,02/23/2018,2,Lisa Middlebrook,Absent
207,02/23/2018,4,Samuel L Moore,Absent
207,02/23/2018,12,Larry Arnowitz,Absent
207,02/23/2018,14,Carol Howard,Absent
207,02/23/2018,21,John Collins-Muhammad,Absent
207,02/23/2018,25,Shane Cohn,Absent
207,02/23/2018,8,Seat is vacant,Vacant Seat
210,02/23/2018,1,Sharon Tyus,Aye
210,02/23/2018,3,Brandon Bosley,Aye
210,02/23/2018,5,Tammika Hubbard,Aye
210,02/23/2018,6,Christine Ingrassia,Aye
210,02/23/2018,7,Jack Coatar,Aye
210,02/23/2018,9,Dan Guenther,Aye
210,02/23/2018,10,Joseph Vollmer,Aye
210,02/23/2018,11,Sarah Martin,Aye
210,02/23/2018,13,Beth Murphy,Aye
210,02/23/2018,15,Megan E. Green,Aye
210,02/23/2018,16,Tom Oldenburg,Aye
210,02/23/2018,17,Joseph D Roddy,Aye
210,02/23/2018,18,Terry Kennedy,Aye
210,02/23/2018,19,Marlene E Davis,Aye
210,02/23/2018,20,Cara Spencer,Aye
210,02/23/2018,22,Jeffrey L Boyd,Aye
210,02/23/2018,23,Joseph Vaccaro,Aye
210,02/23/2018,24,Scott Ogilvie,Aye
210,02/23/2018,26,Frank Williamson,Aye
210,02/23/2018,27,Pam Boyd,Aye
210,02/23/2018,28,Heather Navarro,Aye
210,02/23/2018,President,Lewis E Reed,Aye
210,02/23/2018,2,Lisa Middlebrook,Absent
210,02/23/2018,4,Samuel L Moore,Absent
210,02/23/2018,12,Larry Arnowitz,Absent
210,02/23/2018,14,Carol Howard,Absent
210,02/23/2018,21,John Collins-Muhammad,Absent
210,02/23/2018,25,Shane Cohn,Absent
210,02/23/2018,8,Seat is vacant,Vacant Seat
246,02/23/2018,1,Sharon Tyus,Aye
246,02/23/2018,3,Brandon Bosley,Aye
246,02/23/2018,5,Tammika Hubbard,Aye
246,02/23/2018,6,Christine Ingrassia,Aye
246,02/23/2018,7,Jack Coatar,Aye
246,02/23/2018,9,Dan Guenther,Aye
246,02/23/2018,10,Joseph Vollmer,Aye
246,02/23/2018,11,Sarah Martin,Aye
246,02/23/2018,13,Beth Murphy,Aye
246,02/23/2018,15,Megan E. Green,Aye
246,02/23/2018,16,Tom Oldenburg,Aye
246,02/23/2018,17,Joseph D Roddy,Aye
246,02/23/2018,18,Terry Kennedy,Aye
246,02/23/2018,19,Marlene E Davis,Aye
246,02/23/2018,20,Cara Spencer,Aye
246,02/23/2018,22,Jeffrey L Boyd,Aye
246,02/23/2018,23,Joseph Vaccaro,Aye
246,02/23/2018,24,Scott Ogilvie,Aye
246,02/23/2018,26,Frank Williamson,Aye
246,02/23/2018,27,Pam Boyd,Aye
246,02/23/2018,28,Heather Navarro,Aye
246,02/23/2018,President,Lewis E Reed,Aye
246,02/23/2018,2,Lisa Middlebrook,Absent
246,02/23/2018,4,Samuel L Moore,Absent
246,02/23/2018,12,Larry Arnowitz,Absent
246,02/23/2018,14,Carol Howard,Absent
246,02/23/2018,21,John Collins-Muhammad,Absent
246,02/23/2018,25,Shane Cohn,Absent
246,02/23/2018,8,Seat is vacant,Vacant Seat
244,02/23/2018,1,Sharon Tyus,Aye
244,02/23/2018,3,Brandon Bosley,Aye
244,02/23/2018,5,Tammika Hubbard,Aye
244,02/23/2018,6,Christine Ingrassia,Aye
244,02/23/2018,7,Jack Coatar,Aye
244,02/23/2018,9,Dan Guenther,Aye
244,02/23/2018,10,Joseph Vollmer,Aye
244,02/23/2018,11,Sarah Martin,Aye
244,02/23/2018,13,Beth Murphy,Aye
244,02/23/2018,15,Megan E. Green,Aye
244,02/23/2018,16,Tom Oldenburg,Aye
244,02/23/2018,17,Joseph D Roddy,Aye
244,02/23/2018,18,Terry Kennedy,Aye
244,02/23/2018,19,Marlene E Davis,Aye
244,02/23/2018,20,Cara Spencer,Aye
244,02/23/2018,22,Jeffrey L Boyd,Aye
244,02/23/2018,23,Joseph Vaccaro,Aye
244,02/23/2018,24,Scott Ogilvie,Aye
244,02/23/2018,26,Frank Williamson,Aye
244,02/23/2018,27,Pam Boyd,Aye
244,02/23/2018,28,Heather Navarro,Aye
244,02/23/2018,President,Lewis E Reed,Aye
244,02/23/2018,2,Lisa Middlebrook,Absent
244,02/23/2018,4,Samuel L Moore,Absent
244,02/23/2018,12,Larry Arnowitz,Absent
244,02/23/2018,14,Carol Howard,Absent
244,02/23/2018,21,John Collins-Muhammad,Absent
244,02/23/2018,25,Shane Cohn,Absent
244,02/23/2018,8,Seat is vacant,Vacant Seat
251,02/23/2018,1,Sharon Tyus,Aye
251,02/23/2018,3,Brandon Bosley,Aye
251,02/23/2018,5,Tammika Hubbard,Aye
251,02/23/2018,6,Christine Ingrassia,Aye
251,02/23/2018,7,Jack Coatar,Aye
251,02/23/2018,9,Dan Guenther,Aye
251,02/23/2018,10,Joseph Vollmer,Aye
251,02/23/2018,11,Sarah Martin,Aye
251,02/23/2018,13,Beth Murphy,Aye
251,02/23/2018,15,Megan E. Green,Aye
251,02/23/2018,16,Tom Oldenburg,Aye
251,02/23/2018,17,Joseph D Roddy,Aye
251,02/23/2018,18,Terry Kennedy,Aye
251,02/23/2018,19,Marlene E Davis,Aye
251,02/23/2018,20,Cara Spencer,Aye
251,02/23/2018,22,Jeffrey L Boyd,Aye
251,02/23/2018,23,Joseph Vaccaro,Aye
251,02/23/2018,24,Scott Ogilvie,Aye
251,02/23/2018,26,Frank Williamson,Aye
251,02/23/2018,27,Pam Boyd,Aye
251,02/23/2018,28,Heather Navarro,Aye
251,02/23/2018,President,Lewis E Reed,Aye
251,02/23/2018,2,Lisa Middlebrook,Absent
251,02/23/2018,4,Samuel L Moore,Absent
251,02/23/2018,12,Larry Arnowitz,Absent
251,02/23/2018,14,Carol Howard,Absent
251,02/23/2018,21,John Collins-Muhammad,Absent
251,02/23/2018,25,Shane Cohn,Absent
251,02/23/2018,8,Seat is vacant,Vacant Seat
252,02/23/2018,1,Sharon Tyus,Aye
252,02/23/2018,3,Brandon Bosley,Aye
252,02/23/2018,5,Tammika Hubbard,Aye
252,02/23/2018,6,Christine Ingrassia,Aye
252,02/23/2018,7,Jack Coatar,Aye
252,02/23/2018,9,Dan Guenther,Aye
252,02/23/2018,10,Joseph Vollmer,Aye
252,02/23/2018,11,Sarah Martin,Aye
252,02/23/2018,13,Beth Murphy,Aye
252,02/23/2018,15,Megan E. Green,Aye
252,02/23/2018,16,Tom Oldenburg,Aye
252,02/23/2018,17,Joseph D Roddy,Aye
252,02/23/2018,18,Terry Kennedy,Aye
252,02/23/2018,19,Marlene E Davis,Aye
252,02/23/2018,20,Cara Spencer,Aye
252,02/23/2018,22,Jeffrey L Boyd,Aye
252,02/23/2018,23,Joseph Vaccaro,Aye
252,02/23/2018,24,Scott Ogilvie,Aye
252,02/23/2018,26,Frank Williamson,Aye
252,02/23/2018,27,Pam Boyd,Aye
252,02/23/2018,28,Heather Navarro,Aye
252,02/23/2018,President,Lewis E Reed,Aye
252,02/23/2018,2,Lisa Middlebrook,Absent
252,02/23/2018,4,Samuel L Moore,Absent
252,02/23/2018,12,Larry Arnowitz,Absent
252,02/23/2018,14,Carol Howard,Absent
252,02/23/2018,21,John Collins-Muhammad,Absent
252,02/23/2018,25,Shane Cohn,Absent
